0,1,627,1997,Clinton
1,2,627,1997,Clinton
2,3,627,1997,Clinton
3,4,627,1997,Clinton
4,5,627,1997,Clinton
5,6,627,1997,Clinton
6,7,627,1997,Clinton
7,8,627,1997,Clinton
8,9,627,1997,Clinton
9,10,627,1997,Clinton
10,11,627,1997,Clinton
11,12,627,1997,Clinton
12,13,627,1997,Clinton
13,14,627,1997,Clinton
14,15,627,1997,Clinton
15,15,627,1997,Clinton
16,16,627,1997,Clinton
17,16,627,1997,Clinton
18,17,627,1997,Clinton
19,18,627,1997,Clinton
20,19,627,1997,Clinton
21,20,627,1997,Clinton
22,21,627,1997,Clinton
23,22,627,1997,Clinton
24,23,627,1997,Clinton
25,23,627,1997,Clinton
26,24,627,1997,Clinton
27,25,627,1997,Clinton
28,25,627,1997,Clinton
29,25,627,1997,Clinton
30,26,627,1997,Clinton
31,26,627,1997,Clinton
32,27,627,1997,Clinton
33,27,627,1997,Clinton
34,28,627,1997,Clinton
35,29,627,1997,Clinton
36,30,627,1997,Clinton
37,31,627,1997,Clinton
38,32,627,1997,Clinton
39,33,627,1997,Clinton
40,34,627,1997,Clinton
41,35,627,1997,Clinton
42,36,627,1997,Clinton
43,37,627,1997,Clinton
44,38,627,1997,Clinton
45,39,627,1997,Clinton
46,40,627,1997,Clinton
47,41,627,1997,Clinton
48,42,627,1997,Clinton
49,43,627,1997,Clinton
50,44,627,1997,Clinton
51,45,627,1997,Clinton
52,46,627,1997,Clinton
53,47,627,1997,Clinton
54,48,627,1997,Clinton
55,48,627,1997,Clinton
56,48,627,1997,Clinton
57,49,627,1997,Clinton
58,50,627,1997,Clinton
59,51,627,1997,Clinton
60,51,627,1997,Clinton
61,51,627,1997,Clinton
62,52,627,1997,Clinton
63,53,627,1997,Clinton
64,53,627,1997,Clinton
65,54,627,1997,Clinton
66,55,627,1997,Clinton
67,55,627,1997,Clinton
68,56,627,1997,Clinton
69,57,627,1997,Clinton
70,58,627,1997,Clinton
71,59,627,1997,Clinton
72,59,627,1997,Clinton
73,60,627,1997,Clinton
74,61,627,1997,Clinton
75,61,627,1997,Clinton
76,62,627,1997,Clinton
77,63,627,1997,Clinton
78,64,627,1997,Clinton
79,65,627,1997,Clinton
80,66,627,1997,Clinton
81,67,627,1997,Clinton
82,68,627,1997,Clinton
83,69,627,1997,Clinton
84,70,627,1997,Clinton
85,71,627,1997,Clinton
86,72,627,1997,Clinton
87,73,627,1997,Clinton
88,74,627,1997,Clinton
89,74,627,1997,Clinton
90,75,627,1997,Clinton
91,76,627,1997,Clinton
92,77,627,1997,Clinton
93,78,627,1997,Clinton
94,79,627,1997,Clinton
95,80,627,1997,Clinton
96,80,627,1997,Clinton
97,81,627,1997,Clinton
98,81,627,1997,Clinton
99,81,627,1997,Clinton
100,82,627,1997,Clinton
101,82,627,1997,Clinton
102,83,627,1997,Clinton
103,84,627,1997,Clinton
104,85,627,1997,Clinton
105,85,627,1997,Clinton
106,85,627,1997,Clinton
107,86,627,1997,Clinton
108,87,627,1997,Clinton
109,87,627,1997,Clinton
110,88,627,1997,Clinton
111,89,627,1997,Clinton
112,90,627,1997,Clinton
113,90,627,1997,Clinton
114,90,627,1997,Clinton
115,91,627,1997,Clinton
116,91,627,1997,Clinton
117,92,627,1997,Clinton
118,93,627,1997,Clinton
119,94,627,1997,Clinton
120,94,627,1997,Clinton
121,95,627,1997,Clinton
122,96,627,1997,Clinton
123,97,627,1997,Clinton
124,98,627,1997,Clinton
125,99,627,1997,Clinton
126,99,627,1997,Clinton
127,100,627,1997,Clinton
128,100,627,1997,Clinton
129,101,627,1997,Clinton
130,102,627,1997,Clinton
131,103,627,1997,Clinton
132,103,627,1997,Clinton
133,104,627,1997,Clinton
134,105,627,1997,Clinton
135,106,627,1997,Clinton
136,107,627,1997,Clinton
137,108,627,1997,Clinton
138,109,627,1997,Clinton
139,110,627,1997,Clinton
140,111,627,1997,Clinton
141,112,627,1997,Clinton
142,113,627,1997,Clinton
143,114,627,1997,Clinton
144,115,627,1997,Clinton
145,116,627,1997,Clinton
146,117,627,1997,Clinton
147,118,627,1997,Clinton
148,119,627,1997,Clinton
149,120,627,1997,Clinton
